40,This game is the best thing in my life right now. Thanks Play2Learn!,1,33
42,I'm a genius now. 1 + 1? Easy! Thanks Play2Learn!,1,28
46,Anagram Hunt has redefined who I am as a person. I can't imagine living without it.,2,12
31,"If you''re not on this website playing Math Facts, then what are you even doing with your life?",2,37
45,Anagram Hunt is the most rewarding thing I have ever experienced. Ever.,1,19
32,What an enriching and fulfilling way to spend my entire Sunday.,2,6
63,"Since I started using Play2Learn, I''ve become smarter than all my friends! Time for some new friends!",1,20
29,"I''ve become so addicted to Anagram Hunt, I barely see my family anymore!",1,3
37,"I was having so much fun playing Math Facts, I LITERALLY passed out!",2,29
41,I can now rearrange this sentence I am typing into:  coin naw rager near hist continent see I gym pin at pitying moat in!,2,39
